,message,label
115,Gud mrng dear hav a nice day,0
116,Did u got that persons story,0
117,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,0
118,"Found it, ENC  &lt;#&gt; , where you at?",0
119,I sent you  &lt;#&gt;  bucks,0
120,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0
121,Goodmorning sleeping ga.,0
122,__ say until like dat i dun buy ericsson oso cannot oredi lar...,0
123,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0
124,"Aight yo, dats straight dogg",0
125,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0
126,"What's up bruv, hope you had a great break. Do have a rewarding semester.",0
127,K:)k:)good:)study well.,0
128,Sounds great! Are you home now?,0
129,Finally the match heading towards draw as your prediction.,0
130,Easy ah?sen got selected means its good..,0
131,I have to take exam with march 3,0
132,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0
133,Ok no prob. Take ur time.,0
134,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0
135,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",1
136,Dear good morning now only i am up,0
137,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,0
138,Yes:)here tv is always available in work place..,0
139,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,1
140,I have printed it oh. So  &lt;#&gt;  come upstairs,0
141,Or ill be a little closer like at the bus stop on the same street,0
142,Where are you?when wil you reach here?,0
143,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,1
144,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,0
145,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",0
146,U don't remember that old commercial?,0
147,I asked you to call him now ok,0
148,Kallis wont bat in 2nd innings.,0
149,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1
150,Ranjith cal drpd Deeraj and deepak 5min hold,0
151,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",0
152,What you doing?how are you?,0
153,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",0
154,"I'm back, lemme know when you're ready",0
155,Don't necessarily expect it to be done before you get back though because I'm just now headin out,0
156,Mmm so yummy babe ... Nice jolt to the suzy,0
157,Where are you lover ? I need you ...,0
158,I__÷m parked next to a MINI!!!! When are you coming in today do you think?,0
159,Yup,0
160,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,0
161,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,1
162,Why you Dint come with us.,0
163,Same. Wana plan a trip sometme then,0
164,"Not sure yet, still trying to get a hold of him",0
165,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,1
166,"Come to mu, we're sorting out our narcotics situation",0
167,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",0
168,"Usf I guess, might as well take 1 car",0
169,Tell rob to mack his gf in the theater,0
170,"Awesome, I'll see you in a bit",0
171,All done? All handed in? Celebrations in full swing yet?,0
172,You got called a tool?,0
173,Ok. I asked for money how far,0
174,Okie...,0
175,"K, I might come by tonight then if my class lets out early",0
176,Ok..,0
177,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,0
178,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",0
179,Haf u found him? I feel so stupid da v cam was working.,0
180,Are you this much buzy,0
181,I accidentally deleted the message. Resend please.,0
182,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,1
183,Unless it's a situation where YOU GO GURL would be more appropriate,0
184,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,0
185,I cant pick the phone right now. Pls send a message,0
186,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",0
187,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",0
188,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,0
189,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",1
190,Yup... From what i remb... I think should be can book... ,0
191,Jos ask if u wana meet up?,0
192,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,0
193,Where are the garage keys? They aren't on the bookshelf,0
194,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,0
195,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",1
196,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,0
197,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",0
198,You made my day. Do have a great day too.,0
199,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",0
200,"Not really dude, have no friends i'm afraid :(",0
201,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,1
202,"Coffee cake, i guess...",0
203,Hey... Why dont we just go watch x men and have lunch... Haha ,0
204,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,0
205,No calls..messages..missed calls,0
206,"Cool, text me when you're parked",0
207,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,0
208,K.k:)apo k.good movie.,0
209,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,1
210,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,0
211,"Ta-Daaaaa! I am home babe, are you still up ?",0
212,Just sleeping..and surfing,0
213,"Sorry, I'll call later",0
214,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,0
215,Where u been hiding stranger?,0
216,My sister cleared two round in birla soft yesterday.,0
217,Gudnite....tc...practice going on,0
218,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,0
219,One small prestige problem now.,0
220,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,1
221,"Nah can't help you there, I've never had an iphone",0
222,If you're not in my car in an hour and a half I'm going apeshit,0
223,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",0
224,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,0
225,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1
226,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,1
227,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",0
228,Ha ha cool cool chikku chikku:-):-DB-),0
229,Oh ok no prob..,0
230,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,1
231,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",0
232,I will spoil you in bed as well :),0
233,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,0
234,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",1
235,Can you say what happen,0
236,You could have seen me..i did't recognise you Face.:),0
237,Keep my payasam there if rinu brings,0
238,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,0
239,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",0
240,"Yeah sure, give me a couple minutes to track down my wallet",0
241,Hey leave it. not a big deal:-) take care.,0
242,It took Mr owl 3 licks,0
243,Mm that time you dont like fun,0
244,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,1
245,Yup having my lunch buffet now.. U eat already?,0
246,Huh so late... Fr dinner?,0
247,Morning only i can ok.,0
248,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,0
249,Pick you up bout 7.30ish? What time are  and that going?,0
250,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",0
251,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop",1
252,Dear how is chechi. Did you talk to her,0
253,The hair cream has not been shipped.,0
254,None of that's happening til you get here though,0
255,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour",0
256,"Haha get used to driving to usf man, I know a lot of stoners",0
257,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,0
258,Headin towards busetop,0
259,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,0
260,Come by our room at some point so we can iron out the plan for this weekend,0
261,Cos i want it to be your thing,0
262,Bring home some Wendy =D,0
263,100 dating service cal;l 09064012103 box334sk38ch,1
264,Whatsup there. Dont u want to sleep,0
265,Alright i have a new goal now,0
266,FREE entry into our å£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,1
267,"Alright, I'll head out in a few minutes, text me where to meet you",0
268,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,1
269,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,1
270,Siva is in hostel aha:-.,0
271,Ok. She'll be ok. I guess,0
272,aathi..where are you dear..,0
273,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,1
274,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,0
275,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,0
276,"Ask g or iouri, I've told the story like ten times already",0
277,How long does applebees fucking take,0
278,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",0
279,But i have to. I like to have love and arrange.,0
280,Oic... I saw him too but i tot he din c me... I found a group liao...,0
281,"Sorry, I'll call later",0
282,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ",0
283,I wont get concentration dear you know you are my mind and everything :-),0
284,LOL ... Have you made plans for new years?,0
285,Thanks for this hope you had a good day today,0
286,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,0
287,Si si. I think ill go make those oreo truffles.,0
288,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,0
289,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",0
290,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,0
291,Where did u go? My phone is gonna die you have to stay in here,0
292,"Sorry, I'll call later ok bye",0
293,Ok i am on the way to railway,0
294,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),0
295,They don't put that stuff on the roads to keep it from getting slippery over there?,0
296,There are many company. Tell me the language.,0
297,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",0
298,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,1
299,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),0
300,Ok I'm gonna head up to usf in like fifteen minutes,0
301,"K, can I pick up another 8th when you're done?",0
302,When're you guys getting back? G said you were thinking about not staying for mcr,0
303,"Almost there, see u in a sec",0
304,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",0
305,You should change your fb to jaykwon thuglyfe falconerf,0
306,Dear reached railway. What happen to you,0
307,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",0
308,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1
309,"Sorry,in meeting I'll call later",0
310,Are you free now?can i call now?,0
311,Got meh... When?,0
312,Nope... Think i will go for it on monday... Sorry i replied so late,0
313,Some of them told accenture is not confirm. Is it true.,0
314,"Kate jackson rec center before 7ish, right?",0
315,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0
316,Lolnice. I went from a fish to ..water.?,0
317,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.,0
318,"Maybe westshore or hyde park village, the place near my house?",0
319,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",0
320,Prabha..i'm soryda..realy..frm heart i'm sory,0
321,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,1
322,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",0
323,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,0
324,Shall i come to get pickle,0
325,"That's very rude, you on campus?",0
326,"URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",1
327,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,0
328,"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X",1
329,Yes! How is a pretty lady like you single?,0
330,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,1
331,Jay says that you're a double-faggot,0
332,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,1
333,Gudnite....tc...practice going on,0
334,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",0
335,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",0
336,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,0
337,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,1
338,But am going to college pa. What to do. are else ill come there it self. Pa.,0
339,4 oclock at mine. Just to bash out a flat plan.,0
340,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,0
341,"Sorry that took so long, omw now",0
342,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,0
343,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",0
344,"Hurry up, I've been weed-deficient for like three days",0
345,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",0
346,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,0
347,I__÷ll have a look at the frying pan in case it__÷s cheap or a book perhaps. No that__÷s silly a frying pan isn__÷t likely to be a book,0
348,Having lunch:)you are not in online?why?,0
349,I know that my friend already told that.,0
350,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",0
351,Thanx 4 e brownie it's v nice...,0
352,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",0
353,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",0
354,Oooh bed ridden ey? What are YOU thinking of?,0
355,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",0
356,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,0
357,WOT U WANNA DO THEN MISSY?,0
358,Waiting for your call.,0
359,Nope i waiting in sch 4 daddy... ,0
360,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",1
361,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",0
362,__ wait 4 me in sch i finish ard 5..,0
363,"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321.",1
364,Ok anyway no need to change with what you said,0
365,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,1
366,my ex-wife was not able to have kids. Do you want kids one day?,0
367,"I'm in a meeting, call me later at",0
368,You still at grand prix?,0
369,Gud mrng dear have a nice day,0
